Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
6	24	14.241312	17.845800	22.880100	12.277700	90.306400	-9999	7.045600	-9999	-9999	-9999	-9999
6	25	6.880386	13.569700	16.352600	10.246400	86.448300	-9999	0.912913	-9999	-9999	-9999	-9999
6	26	12.541652	10.958100	14.393400	7.724890	82.446900	-9999	3.243990	-9999	-9999	-9999	-9999
6	27	11.259734	11.439200	15.346200	6.661230	85.410000	-9999	8.893630	-9999	-9999	-9999	-9999
6	28	9.035885	10.175500	13.296400	7.903930	86.765100	-9999	6.681940	-9999	-9999	-9999	-9999
6	29	19.664641	13.929200	19.743400	6.722960	84.607300	-9999	0.013796	-9999	-9999	-9999	-9999
6	30	6.699888	10.071700	12.910100	7.075560	90.143000	-9999	18.420500	-9999	-9999	-9999	-9999
7	1	12.997929	10.123400	13.295100	7.038210	85.391900	-9999	15.373400	-9999	-9999	-9999	-9999
7	2	6.680828	10.465700	12.816900	7.864810	88.189500	-9999	8.973240	-9999	-9999	-9999	-9999
7	3	17.966275	13.612000	18.398200	8.045110	82.732900	-9999	6.247220	-9999	-9999	-9999	-9999
7	4	7.877935	10.576100	13.247900	7.621030	85.232000	-9999	10.439400	-9999	-9999	-9999	-9999
7	5	7.580226	10.137500	13.492500	7.511960	89.194200	-9999	3.113010	-9999	-9999	-9999	-9999
7	6	3.227109	11.236100	13.523700	8.613500	97.198800	-9999	14.261800	-9999	-9999	-9999	-9999
7	7	1.960511	11.065100	12.524500	9.693060	95.632900	-9999	3.175750	-9999	-9999	-9999	-9999
7	8	13.143168	13.465300	18.642100	9.432310	86.697700	-9999	0.020396	-9999	-9999	-9999	-9999
7	9	22.517135	16.088800	21.913700	9.337830	83.173700	-9999	0.966302	-9999	-9999	-9999	-9999
7	10	8.211430	13.474400	17.201200	10.853100	90.473000	-9999	5.521160	-9999	-9999	-9999	-9999
7	11	1.495558	12.328900	13.924500	10.339800	96.743300	-9999	20.178600	-9999	-9999	-9999	-9999
7	12	11.622528	15.171200	19.640100	11.489900	89.609700	-9999	0.184915	-9999	-9999	-9999	-9999
7	13	21.789389	17.617700	23.616200	11.213000	80.278000	-9999	0.101662	-9999	-9999	-9999	-9999
7	14	13.153882	18.061500	22.163200	13.763800	87.365200	-9999	4.070920	-9999	-9999	-9999	-9999
7	15	14.626137	18.172400	23.446600	13.713600	87.939300	-9999	3.124410	-9999	-9999	-9999	-9999
7	16	20.658241	19.380400	24.648100	12.897100	84.676100	-9999	0.000000	-9999	-9999	-9999	-9999
7	17	12.688964	19.618500	25.164100	14.812000	87.220600	-9999	2.480490	-9999	-9999	-9999	-9999
7	18	8.425573	17.827100	22.225300	14.132800	93.050600	-9999	9.162470	-9999	-9999	-9999	-9999
7	19	8.055469	17.383800	21.258600	14.847200	93.567000	-9999	8.762510	-9999	-9999	-9999	-9999
7	20	4.479408	16.594100	19.193400	14.628800	93.326000	-9999	16.302100	-9999	-9999	-9999	-9999
