Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
2002	4	26	3.49664	7.62371	8.7998	6.4106	0.385596	7.59493	1.8	27.3492	-9999	-9999	-9999
2002	4	27	9.93377	6.18848	8.0619	3.588	1.6232	7.10709	14.2	28.5881	-9999	-9999	-9999
2002	4	28	9.33174	5.8475	8.4466	2.5656	0.735882	6.49479	5.2	28.6322	-9999	-9999	-9999
2002	4	29	12.9977	7.52121	10.9485	5.2708	1.44672	7.2688	10.4	29.5139	-9999	-9999	-9999
2002	4	30	14.6882	8.71359	11.096	6.6509	2.11353	7.48113	0.4	28.9849	-9999	-9999	-9999
2002	5	1	13.3621	10.5128	13.1128	7.7471	2.74828	8.11581	2.2	28.7669	-9999	-9999	-9999
2002	5	2	16.3524	9.53663	12.5002	5.8905	2.79343	8.07664	0	28.4426	-9999	-9999	-9999
2002	5	3	4.34763	9.55241	12.0424	7.727	0.142075	8.43332	11.6	29.3511	-9999	-9999	-9999
2002	5	4	4.95295	8.88188	11.1995	7.428	0.244881	8.4021	9.2	29.7047	-9999	-9999	-9999
2002	5	5	3.00544	8.45135	9.7506	7.5139	-0.225528	8.39361	7.6	30.1202	-9999	-9999	-9999
2002	5	6	19.123	11.067	16.5299	7.407	2.48994	8.86035	0.2	29.5225	-9999	-9999	-9999
2002	5	7	9.07686	10.5382	12.4027	8.6706	3.42324	8.85373	0	28.9413	-9999	-9999	-9999
2002	5	8	16.5446	11.3048	17.3119	6.1043	1.83106	8.95009	0	28.5842	-9999	-9999	-9999
2002	5	9	24.7456	14.244	18.4198	10.5461	4.62504	9.83157	0	28.3444	-9999	-9999	-9999
2002	5	10	25.5403	13.4152	17.6181	9.5676	5.74073	9.87006	0	28.2257	-9999	-9999	-9999
2002	5	11	24.5682	14.4139	18.5189	10.2616	4.15805	10.3405	0	28.073	-9999	-9999	-9999
2002	5	12	8.15553	11.7427	14.145	9.5631	0.789362	10.2378	0	28.0306	-9999	-9999	-9999
2002	5	13	27.6708	11.6648	15.9689	6.7479	5.38731	9.81494	0	27.7428	-9999	-9999	-9999
2002	5	14	11.9898	12.1817	14.9396	8.5633	2.31404	9.73514	0	27.5693	-9999	-9999	-9999
2002	5	15	16.1808	11.736	14.6161	8.9727	2.27025	9.88425	1	27.4501	-9999	-9999	-9999
2002	5	16	9.12859	12.6224	15.6197	10.5723	1.52717	10.0572	0.4	27.3716	-9999	-9999	-9999
2002	5	17	23.5792	11.3372	14.6182	8.8616	3.1255	9.91565	0	27.3069	-9999	-9999	-9999
2002	5	18	28.9963	14.1746	18.366	8.9036	6.85602	10.0087	0	27.0177	-9999	-9999	-9999
2002	5	19	4.90441	11.9922	13.9749	11.0118	1.69075	9.87059	0	26.8801	-9999	-9999	-9999
2002	5	20	19.3259	11.5893	15.4624	7.3603	2.12478	10.1427	0.4	26.7515	-9999	-9999	-9999
2002	5	21	28.2286	12.3133	17.4527	6.5783	4.24401	10.0477	0	26.5903	-9999	-9999	-9999
2002	5	22	25.4448	15.5885	20.297	11.0631	5.14564	10.8206	0	26.3668	-9999	-9999	-9999
2002	5	23	9.14699	14.6511	19.004	11.0963	1.49549	11.1279	2	26.2483	-9999	-9999	-9999
2002	5	24	13.7297	13.2613	16.7702	11.2169	1.66584	11.3319	22.4	28.4187	-9999	-9999	-9999
2002	5	25	19.0051	12.5468	14.6507	10.7432	2.2565	11.1639	1.4	28.1678	-9999	-9999	-9999
2002	5	26	27.5962	12.3062	15.7271	9.2336	2.7255	10.9055	12.4	27.7528	-9999	-9999	-9999
2002	5	27	22.0669	14.2542	18.2311	9.9129	3.39245	11.2744	0.612766	28.723	-9999	-9999	-9999
2002	5	28	21.4805	14.7218	17.7306	11.526	2.36465	11.6994	0.6	27.869	-9999	-9999	-9999
2002	5	29	14.1059	14.0749	17.8947	11.694	2.29497	11.8416	0.2	27.5194	-9999	-9999	-9999
2002	5	30	21.2261	12.7874	15.851	10.2791	3.2061	11.3458	0	27.0984	-9999	-9999	-9999
2002	5	31	16.0596	11.0978	13.9084	8.3516	1.59323	10.7746	3.6	27.1565	-9999	-9999	-9999
2002	6	1	26.0892	12.5147	15.6518	8.9283	3.03872	10.7833	0	26.9794	-9999	-9999	-9999
2002	6	2	25.834	15.2098	18.9445	10.461	4.33648	11.3121	0	26.561	-9999	-9999	-9999
2002	6	3	30.4184	15.5829	18.5717	12.1589	6.67982	11.5413	0	26.2847	-9999	-9999	-9999
2002	6	4	24.9737	15.5872	18.9397	12.2351	5.63217	11.7767	0	26.144	-9999	-9999	-9999
2002	6	5	27.7144	17.3547	21.3777	12.5119	6.85651	12.2173	0	25.7319	-9999	-9999	-9999
2002	6	6	29.6087	17.8262	21.9033	14.3782	7.93069	12.6744	0	25.3603	-9999	-9999	-9999
2002	6	7	25.3743	16.2401	18.765	13.2947	6.29816	12.4629	0	24.8458	-9999	-9999	-9999
2002	6	8	26.6908	15.5202	18.6431	11.7105	5.97836	12.2561	0	24.4578	-9999	-9999	-9999
2002	6	9	23.8278	15.7073	18.8885	12.3968	4.31299	12.4299	0	23.9545	-9999	-9999	-9999
2002	6	10	13.674	14.4805	19.0434	11.4632	1.54465	12.5068	17.2	23.8943	-9999	-9999	-9999
2002	6	11	16.8947	12.6501	15.0523	10.3576	1.42951	12.0892	5.4	27.3144	-9999	-9999	-9999
2002	6	12	19.1986	12.5894	15.4948	9.0384	2.07074	11.8733	19.6	28.1955	-9999	-9999	-9999
2002	6	13	13.4707	12.1272	14.1466	10.9623	1.19096	11.7563	2	28.6309	-9999	-9999	-9999
2002	6	14	26.8409	13.8577	16.5393	9.712	3.66428	11.7187	0	27.5726	-9999	-9999	-9999
2002	6	15	11.0928	14.9095	19.0378	10.5528	1.2468	12.1553	6.8	27.6794	-9999	-9999	-9999
2002	6	16	22.2207	16.1546	18.706	12.9117	3.3071	12.8472	0	27.2674	-9999	-9999	-9999
2002	6	17	20.0227	18.2474	22.2957	14.5786	2.40816	13.5847	0	26.5698	-9999	-9999	-9999
2002	6	18	27.3553	20.7556	25.9231	17.4161	3.69025	14.2017	-9999	-9999	-9999	-9999	-9999
2002	6	19	27.3676	20.9114	25.8623	17.5809	3.77027	14.2463	-9999	-9999	-9999	-9999	-9999
2002	6	20	27.3676	20.9114	25.8623	17.5809	3.77027	14.2463	-9999	-9999	-9999	-9999	-9999
2002	6	21	24.4988	18.6668	25.8623	14.1549	3.75279	13.6506	-9999	-9999	-9999	-9999	-9999
2002	6	22	18.5064	14.9484	16.8078	12.9589	3.00583	12.8329	-9999	-9999	-9999	-9999	-9999
2002	6	23	18.9697	14.3763	16.8078	11.9668	3.35596	12.8114	-9999	-9999	-9999	-9999	-9999
2002	6	24	18.9697	14.3763	16.8078	11.9668	3.35596	12.8114	-9999	-9999	-9999	-9999	-9999
2002	6	25	19.0387	14.3704	17.3648	11.9668	3.34825	12.811	-9999	-9999	-9999	-9999	-9999
2002	6	26	17.286	14.5381	17.6041	11.7402	3.34193	12.8061	0	25.6528	-9999	-9999	-9999
2002	6	27	17.1592	12.6735	14.9172	9.7631	1.91741	12.4935	11.8	26.7183	-9999	-9999	-9999
2002	6	28	18.1793	13.1538	15.0671	10.7534	1.92874	12.0195	1.6	26.5778	-9999	-9999	-9999
2002	6	29	18.135	14.9622	17.9266	13.0385	3.49056	12.006	0.4	26.0021	-9999	-9999	-9999
2002	6	30	16.5705	15.7899	18.4325	12.3165	2.08768	12.0342	5.2	26.2758	-9999	-9999	-9999
2002	7	1	9.86364	15.2758	18.49	13.4258	0.640657	12.1172	8	27.1484	-9999	-9999	-9999
2002	7	2	17.3924	14.2034	16.7943	12.3962	1.71611	12.3644	2.6	27.0201	-9999	-9999	-9999
2002	7	3	8.43023	13.9314	14.9407	12.1407	0.464901	12.2048	12.2	26.9229	-9999	-9999	-9999
2002	7	4	14.2835	15.1613	17.6559	12.6582	0.768362	12.9173	1.4	27.9499	-9999	-9999	-9999
2002	7	5	15.5263	14.8139	19.5255	10.2693	2.34117	12.6332	0	27.1494	-9999	-9999	-9999
2002	7	6	10.0876	14.8604	18.2479	11.5943	0.772527	12.914	10.6	28.0936	-9999	-9999	-9999
2002	7	7	17.1116	14.7918	16.681	13.3868	2.49645	13.1328	5.4	28.4694	-9999	-9999	-9999
2002	7	8	21.7049	17.195	21.2179	13.4762	3.0021	13.6438	0	27.6169	-9999	-9999	-9999
2002	7	9	26.7614	21.2728	26.0992	15.4479	6.20649	14.8487	0	26.4572	-9999	-9999	-9999
2002	7	10	12.4933	20.4064	24.1648	14.0003	3.44162	15.358	7.6	26.0711	-9999	-9999	-9999
2002	7	11	24.0205	15.5718	18.5075	12.6416	3.55179	14.4867	0	27.306	-9999	-9999	-9999
2002	7	12	24.8812	16.4903	19.5905	13.2101	4.70013	13.9966	0	26.2792	-9999	-9999	-9999
2002	7	13	19.2513	17.4378	20.6589	14.5005	4.46808	14.1993	0.2	25.5399	-9999	-9999	-9999
2002	7	14	10.6438	17.4902	21.2717	14.63	5.24559	14.0703	0	24.9494	-9999	-9999	-9999
2002	7	15	24.4924	19.963	24.1139	15.3864	7.11359	14.6287	0	24.3744	-9999	-9999	-9999
2002	7	16	27.0467	20.4408	24.5761	15.8302	7.7933	15.0171	0	23.7093	-9999	-9999	-9999
2002	7	17	18.6586	19.6532	23.1603	16.9374	5.12067	15.344	0	22.904	-9999	-9999	-9999
2002	7	18	3.69904	17.5238	19.0016	15.6377	0.097943	15.2838	13.8	24.616	-9999	-9999	-9999
2002	7	19	7.11128	17.9916	20.4707	16.3699	0.346985	15.6524	17.6	25.5016	-9999	-9999	-9999
2002	7	20	17.072	16.4372	19.1493	14.2837	2.18867	15.291	0.4	27.1962	-9999	-9999	-9999
2002	7	21	9.0549	14.4692	18.7696	11.9701	1.25718	14.3748	27.2	27.4709	-9999	-9999	-9999
2002	7	22	3.95867	13.4553	14.6726	12.3046	0.717582	13.7776	15	30.1949	-9999	-9999	-9999
2002	7	23	17.7531	15.3875	18.8828	12.3589	3.42275	13.6509	1.8	28.686	-9999	-9999	-9999
2002	7	24	16.1301	14.666	16.9742	12.4086	2.63574	13.7318	3.6	28.4764	-9999	-9999	-9999
2002	7	25	17.194	14.7005	17.0156	12.4127	3.47005	13.39	0	27.5331	-9999	-9999	-9999
2002	7	26	5.28004	14.8646	16.8492	11.092	0.540749	13.4667	0.426667	27.0268	-9999	-9999	-9999
2002	7	27	24.8487	17.4613	22.2002	12.463	4.13576	14.0874	0	26.5651	-9999	-9999	-9999
