Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI 	ET	LITTERFALL
2000	3	20	11.394864	3.452430	5.910880	0.993113	0.878514	-9999	3.942480	-9999	-9999	-9999	-9999
2000	3	21	9.810115	3.060580	5.480800	0.644205	0.625282	-9999	2.013900	-9999	-9999	-9999	-9999
2000	3	22	13.986432	3.059850	7.758960	0.214213	1.042332	-9999	0.039377	-9999	-9999	-9999	-9999
2000	3	23	13.583721	3.424320	8.878780	0.133158	1.504557	-9999	2.598310	-9999	-9999	-9999	-9999
2000	3	24	12.584506	4.574410	9.128290	0.133524	1.142223	-9999	14.702400	-9999	-9999	-9999	-9999
2000	3	25	4.986317	1.303930	4.058620	-0.685049	0.302049	-9999	15.836800	-9999	-9999	-9999	-9999
2000	3	26	10.185610	2.597320	5.512380	-1.430470	0.501747	-9999	3.918070	-9999	-9999	-9999	-9999
2000	3	27	6.165634	3.178810	5.145870	1.551460	0.288948	-9999	19.800900	-9999	-9999	-9999	-9999
2000	3	28	14.202432	3.722870	6.611530	0.146006	1.008193	-9999	0.705508	-9999	-9999	-9999	-9999
2000	3	29	12.906432	4.544590	9.599810	-0.138815	1.527578	-9999	4.062260	-9999	-9999	-9999	-9999
2000	3	30	8.869392	2.107460	4.947680	0.241617	0.867468	-9999	3.823400	-9999	-9999	-9999	-9999
2000	3	31	7.892372	1.032050	4.169460	-1.611870	0.790215	-9999	9.201430	-9999	-9999	-9999	-9999
2000	4	1	7.170552	-1.421130	1.589450	-4.260540	0.559667	-9999	3.659610	-9999	-9999	-9999	-9999
2000	4	2	4.328588	0.555674	3.127840	-3.262220	0.204653	-9999	6.202170	-9999	-9999	-9999	-9999
2000	4	3	4.428778	1.046820	3.228150	-2.108040	0.150140	-9999	2.648900	-9999	-9999	-9999	-9999
2000	4	4	9.572947	-2.708240	0.174380	-5.130170	0.619535	-9999	0.600358	-9999	-9999	-9999	-9999
2000	4	5	16.738013	-0.548635	3.617010	-9.566870	1.885685	-9999	0.002675	-9999	-9999	-9999	-9999
2000	4	6	17.446925	3.928870	10.907100	-1.548990	2.393583	-9999	0.000000	-9999	-9999	-9999	-9999
2000	4	7	17.641411	3.407240	8.847930	-1.366040	1.081937	-9999	0.000044	-9999	-9999	-9999	-9999
2000	4	8	16.176586	4.713850	10.952900	-0.120310	1.814095	-9999	0.000013	-9999	-9999	-9999	-9999
2000	4	9	10.993104	5.621350	10.646700	0.995291	1.476647	-9999	1.992320	-9999	-9999	-9999	-9999
2000	4	10	9.711446	0.857065	5.795600	-2.110700	1.103078	-9999	4.248820	-9999	-9999	-9999	-9999
2000	4	11	10.490601	0.886057	4.323890	-2.920480	1.769928	-9999	0.102043	-9999	-9999	-9999	-9999
2000	4	12	15.060729	1.276830	6.210670	-3.682320	1.594933	-9999	0.055453	-9999	-9999	-9999	-9999
2000	4	13	13.899773	3.682690	8.101590	-2.037000	1.614423	-9999	2.309250	-9999	-9999	-9999	-9999
2000	4	14	9.498556	5.338570	9.865270	2.283380	1.271215	-9999	4.827500	-9999	-9999	-9999	-9999
2000	4	15	12.005367	5.274670	9.908720	0.982412	1.029152	-9999	4.371680	-9999	-9999	-9999	-9999
2000	4	16	15.377644	4.936810	10.563900	0.793905	1.619559	-9999	3.183900	-9999	-9999	-9999	-9999
2000	4	17	13.123036	5.904250	11.357700	1.105030	1.111224	-9999	9.182320	-9999	-9999	-9999	-9999
2000	4	18	15.663975	4.545360	10.177800	0.568380	1.415022	-9999	2.039700	-9999	-9999	-9999	-9999
2000	4	19	7.035302	3.060160	6.249000	0.668112	0.598250	-9999	13.717700	-9999	-9999	-9999	-9999
2000	4	20	16.751318	3.886090	9.272770	-0.103983	1.613791	-9999	2.253130	-9999	-9999	-9999	-9999
2000	4	21	17.496432	6.073190	10.588000	0.714498	1.631606	-9999	1.033140	-9999	-9999	-9999	-9999
2000	4	22	18.824400	6.731360	12.568100	2.686090	1.903469	-9999	1.677870	-9999	-9999	-9999	-9999
2000	4	23	19.096819	9.855360	16.328600	2.629720	2.133053	-9999	0.000000	-9999	-9999	-9999	-9999
2000	4	24	19.217520	13.445400	19.559500	6.024740	4.363828	-9999	3.724470	-9999	-9999	-9999	-9999
2000	4	25	19.055175	14.140500	21.439900	9.616020	3.634975	-9999	0.165105	-9999	-9999	-9999	-9999
