year,mo,day,leFMDS_Wm2,hFMDS_Wm2
2005,1,5,-9.25416666666667,-98.475
2005,1,6,-5.599193125,-140.89375
2005,1,7,-7.308134375,-187.4246875
2005,1,8,3.62110541666667,-192.7161875
2005,1,9,4.085681875,-149.05525
2005,1,10,5.18105916666667,-200.5131875
2005,1,11,-4.68541666666667,-72.03125
2005,1,12,13.3282564583333,-145.539583333333
2005,1,13,-3.54791666666667,-153.0875
2005,1,14,-0.602083333333333,-51.0354166666667
2005,1,15,0.23705,-1.48416895833333
2005,1,16,-1.22291666666667,-22.7708333333333
2005,1,17,-0.170893125,-36.7625
2005,1,18,1.347356875,-41.5104166666667
2005,1,19,-6.78125,-46.7291666666667
2005,1,20,-6.09692791666667,-168.463591666667
2005,1,21,-3.08517583333333,-80.7729166666667
2005,1,22,2.80677083333333,-31.4322916666667
2005,1,23,-2.57367583333333,-57.2208333333333
2005,1,24,3.65625,-35.9541666666667
2005,1,25,2.78637479166667,-35.1016770833333
2005,1,26,3.2600475,-6.90996041666667
2005,1,27,1.81041666666667,-6.11875
2005,1,28,2.60833333333333,2.4625
2005,1,29,0.676050625,-18.5931145833333
2005,1,30,-4.42916666666667,-72.7583333333333
2005,1,31,1.10625,-124.93725
2005,2,1,6.1,-49.14375
2005,2,2,0.316666666666667,-19.1729166666667
2005,2,3,1.08125,-9.13125
2005,2,4,1.61875,-8.81041666666667
2005,2,5,-0.5625,-26.8854166666667
2005,2,6,-0.0562499999999997,2.07916666666667
2005,2,7,3.72291666666667,-9.89791666666667
2005,2,8,4.71597770833333,-2.52510625
2005,2,9,5.79583333333333,4.30833333333333
2005,2,10,9.5323505,-91.2333333333333
2005,2,11,3.99375,-64.3375
2005,2,12,-1.22051191666667,-27.2562875
2005,2,13,-20.7530754166667,-120.323985416667
2005,2,14,-14.8729166666667,-43.25
2005,2,15,15.0776041666667,-5.01614583333333
2005,2,16,9.99375,-12.6395833333333
2005,2,17,6.72083333333333,18.8229166666667
2005,2,18,-1.037561875,-39.6666458333333
2005,2,19,2.51797104166667,-2.25486041666667
2005,2,20,5.597739375,9.26537916666667
2005,2,21,5.79583333333333,3.13333333333333
2005,2,22,14.0291666666667,-0.654166666666667
2005,2,23,5.70654479166667,-1.8698875
2005,2,24,-2.34538854166667,-5.17360833333333
2005,2,25,9.04906583333333,14.43806875
2005,2,26,13.2291666666667,22.4
2005,2,27,9.72377395833333,32.7521375
2005,2,28,-2.72925583333333,-14.4208333333333
2005,3,1,-4.68912833333333,-19.653125
2005,3,2,5.68333333333333,9.25416666666667
2005,3,3,15.1192708333333,18.7432291666667
2005,3,4,4.01892354166667,14.7695479166667
2005,3,5,5.2609375,10.5479166666667
2005,3,6,8.44242479166667,21.1403291666667
2005,3,7,4.45833333333333,-12.06875
2005,3,8,6.8875,28.90625
2005,3,9,9.13541666666667,56.75
2005,3,10,11.525,-31.94375
2005,3,11,2.03204166666667,-103.5584375
2005,3,12,9.94016666666667,-25.4395833333333
2005,3,13,8.02708333333333,9.275
2005,3,14,10.3208333333333,-42.4458333333333
2005,3,15,0.289583333333333,-25.4604166666667
2005,3,16,-15.88944375,-86.0979166666667
2005,3,17,-5.3875,-126.339583333333
2005,3,18,18.7961458333333,-17.3916666666667
2005,3,19,18.7833333333333,79.9020833333333
2005,3,20,9.06041666666667,69.3229166666667
2005,3,21,12.3729166666667,71.125
2005,3,22,21.3625,38.21875
2005,3,23,12.9,5.76458333333333
2005,3,24,17.7625,45.99375
2005,3,25,21.675,46.71875
2005,3,26,20.1854166666667,46.5729166666667
2005,3,27,28.125,42.84375
2005,3,28,24.15625,69.2770833333333
2005,3,29,41.61875,107.71875
2005,3,30,27.4,107.170833333333
2005,3,31,18.5895833333333,94.0979166666667
2005,4,1,17.5416666666667,61.73125
2005,4,2,20.1583333333333,71.1916666666667
2005,4,3,22.78125,58.59375
2005,4,4,26.2309895833333,60.51985625
2005,4,5,42.4583333333333,-26.4520833333333
2005,4,6,23.2770833333333,33.5270833333333
2005,4,7,44.6979166666667,-19.7520833333333
2005,4,8,31.5666666666667,-8.37916666666667
2005,4,9,36.2041666666667,73.7083333333333
2005,4,10,21.5125,13.0083333333333
2005,4,11,46.9582083333333,7.02291666666667
2005,4,12,47.8833333333333,19.7458333333333
2005,4,13,16,9.60625
2005,4,14,36.1458333333333,19
2005,4,15,36.9357708333333,47.4395833333333
2005,4,16,32.5979166666667,75.8958333333333
2005,4,17,43.3229166666667,81.3041666666667
2005,4,18,42.5145833333333,84.2729166666667
2005,4,19,31.36875,99.6083333333333
2005,4,20,17.0104166666667,88.0208333333333
2005,4,21,34.3833333333333,89.0083333333333
2005,4,22,17.2229166666667,89.7125
2005,4,23,29.2729166666667,130.514583333333
2005,4,24,31.7291666666667,123.539583333333
2005,4,25,36.8833333333333,148.420833333333
2005,4,26,39.1729166666667,136.139583333333
2005,4,27,26.0125,64.3770833333333
2005,4,28,34.32942769375,53.879
2005,4,29,21.6419222291667,16.6438533333333
2005,4,30,43.8434998541667,23.0697877083333
2005,5,1,30.20108375,-7.79994166666667
2005,5,2,47.1196310416667,28.1135195833333
2005,5,3,54.2299020833333,87.5084860416667
2005,5,4,45.3749811666667,9.84148541666667
2005,5,5,58.55,33.5020833333333
2005,5,6,60.26,17.4395833333333
2005,5,7,45.5604166666667,22.0833333333333
2005,5,8,66.3708333333333,72.4125
2005,5,9,43.3149183333333,31.1246354166667
2005,5,10,42.23125,25.8291666666667
2005,5,11,47.8064573291667,24.3195395833333
2005,5,12,51.76608200625,87.6611
2005,5,13,55.2266435416667,110.128795833333
2005,5,14,51.8031,95.3020833333333
2005,5,15,50.3708333333333,103.297916666667
2005,5,16,54.3456645833333,-41.4875
2005,5,17,53.6041666666667,81.7833333333333
2005,5,18,65.3207083333333,54.1479166666667
2005,5,19,48.84375,75.8916666666667
2005,5,20,39.18125,20.14375
2005,5,21,48.6111979166667,5.17291666666667
2005,5,22,79.60820625,83.5895833333333
2005,5,23,69.3033854166667,17.8416666666667
2005,5,24,88.1875,56.56875
2005,5,25,72.8041666666667,-1.63541666666667
2005,5,26,91.3708333333333,57.2708333333333
2005,5,27,94.55625,92.5416666666667
2005,5,28,96.3622394791667,54.2416666666667
2005,5,29,107.56875,33.4041666666667
2005,5,30,66.5854166666667,15.5166666666667
2005,5,31,54.5424058333333,-102.78644375
2005,6,1,33.6537622916667,-61.9123854166667
2005,6,2,1.23111645833333,-38.5637520833333
2005,6,3,43.3072916666667,6.52291666666667
2005,6,4,70.2125,-87.4145833333333
2005,6,5,61.7317708333333,-48.028125
2005,6,6,67.1096483416667,-32.1827770833333
2005,6,7,77.4868096658333,19.7643833333333
2005,6,8,72.27284064375,39.6837172916667
2005,6,9,67.2604572708333,28.5487443541667
2005,6,10,66.9296776041667,13.5341129166667
2005,6,11,55.0545845,7.5567618125
2005,6,12,49.8840745833333,9.051534375
2005,6,13,48.8228134791667,13.87995625
2005,6,14,58.9499528541667,47.72768125
2005,6,15,60.59066625,53.0913854166667
2005,6,16,50.5375,28.90625
2005,6,17,35.2083333333333,-52.9395833333333
2005,6,18,96.770595,52.18315625
2005,6,19,54.8791666666667,24.0895833333333
2005,6,20,79.3847229166667,67.8125
2005,6,21,91.8717583333333,6.75833333333333
2005,6,22,111.639583333333,-15.5375
2005,6,23,88.1668479166667,49.7894166666667
2005,6,24,83.5479166666667,28.68125
2005,6,25,57.6980189583333,-5.34166666666667
2005,6,26,119.895833333333,58.8729166666667
2005,6,27,86.1458333333333,7.78177083333333
2005,6,28,87.8458095833333,-4.0908875
2005,6,29,86.7402014583333,30.1732083333333
2005,6,30,76.6093270833333,57.6715791666667
2005,7,1,70.3299045833333,70.3411402083333
2005,7,2,75.11186375,36.0820922916667
2005,7,3,68.8875,40.0895833333333
2005,7,4,99.8145833333333,105.847916666667
2005,7,5,18.68709875,-21.8853791666667
2005,7,6,14.5776041666667,-18.8512145833333
2005,7,7,78.9027989583333,85.7140625
2005,7,8,89.2745315833333,72.4662514583333
2005,7,9,92.79375,63.75
2005,7,10,101.195190145833,63.3452333333333
2005,7,11,109.1625,79.99444375
2005,7,12,96.0916666666667,58.6604166666667
2005,7,13,64.0583333333333,70.0104166666667
2005,7,14,57.5520833333333,35.93125
2005,7,15,63.7791666666667,1.12708333333333
2005,7,16,52.3458333333333,-25.4375
2005,7,17,58.2647619791667,-0.86048125
