year,mo,day,neeCutRef_gCm2d1,neeVutRef_gCm2d1,neeCutRef_qc,neeVutRef_qc,neeCutRefJointunc_gCm2d1,neeVutRefJointunc_gCm2d1,recoNtVutRef_gCm2d1,recoNtVutSe_gCm2d1,recoNtCutRef_gCm2d1,recoNtCutSe_gCm2d1,recoDtVutRef_gCm2d1,recoDtVutSe_gCm2d1,recoDtCutRef_gCm2d1,recoDtCutSe_gCm2d1,gppNtVutRef_gCm2d1,gppNtVutSe_gCm2d1,gppNtCutRef_gCm2d1,gppNtCutSe_gCm2d1,gppDtVutRef_gCm2d1,gppDtVutSe_gCm2d1,gppDtCutRef_gCm2d1,gppDtCutSe_gCm2d1
2001,7,28,-3.90762051649866,-3.93813545341086,0.58372002,0.5404815,1.71748786797666,1.73472710913918,5.0675975663274,0.022752158948298,5.0247791085492,0.019321452627048,5.0224230415944,0.07375546750338,4.6047263992236,0.073739916769662,8.9760136499748,0.059993939419128,8.97432017010048,0.0521967379722984,9.03710483602056,0.0297930738030677,9.03710483602056,0.0329822194197759
2001,7,29,-3.57993051775398,-3.66747317107938,0.4323852,0.38914668,NA,NA,5.1413765339664,0.0295434183892536,5.1284942655102,0.025830201090798,4.6336510233702,0.0405105299972568,4.3808308568856,0.047943936805518,8.83085320415376,0.0521924296861656,8.72148979932516,0.050325319913778,8.2971416457072,0.0263861275609342,8.2971416457072,0.0289410619272035
2001,7,30,-1.50996783412566,-1.49862639194892,0.34590816,0.34590816,1.52585660659302,1.5490780267131,5.005374309351,0.0126322140416472,5.0062749677226,0.0119309332420044,4.2925421228976,0.04434740427429,4.068229112649,0.058469271374592,6.5153957376222,0.0207461590505442,6.52521464341344,0.0168084010910322,5.48210260058292,0.0271473546338516,5.48210260058292,0.0359718069739729
2001,7,31,-2.9535954123546,-2.936199258603,0.38914668,0.34590816,1.59722429168718,1.62210019053654,4.647525832053,0.027947046609846,4.6787284776258,0.026388192029472,4.0183536960216,0.075117441968712,3.7152890721414,0.089526806312346,7.60094163159552,0.03721098383496,7.59143525382684,0.035699555425248,8.44431408796014,0.0410114493324198,8.44431408796014,0.0508424404629539
2001,8,1,-3.0788634581874,-3.0817697353092,0.12971556,0.02161926,1.67386967053254,1.70672396271156,4.514075544888,0.03035260869849,4.5759200324292,0.028508963606136,3.9679490399094,0.071170497985626,3.7265382216972,0.083297212219494,7.59191902800786,0.047644555454964,7.56744836056794,0.046291261122522,7.91323495546896,0.0390071301029668,7.91323495546896,0.0493058125551469
2001,8,2,-3.814721669889,-3.806522565534,0.36752742,0.36752742,1.67786452063386,1.72849488182046,4.204689881769,0.031247155305288,4.2550755129324,0.028332038068074,3.853037484387,0.052466108763276,3.6716320032678,0.063561432960324,8.02065861543258,0.043817952920742,7.99719501636198,0.040177183059702,8.21827153691154,0.0200238402707555,8.21827153691154,0.0272421367774384
2001,8,3,-4.0736090655,-4.198866734088,0.5404815,0.45400446,1.78355487804624,1.79313649083972,4.6112255811648,0.030379323618072,4.666270811436,0.028815250148334,3.994582022496,0.0306812869568478,3.9311091722916,0.041668894704294,8.75291058323136,0.090734579243802,8.66552581536174,0.0807770176799742,8.62063381111842,0.0196744811456743,8.62063381111842,0.0207881816627176
2001,8,4,-3.3308287991316,-3.34594208247317,0.30266964,0.30266964,1.59374573113392,1.65677201390376,4.5461570133798,0.021908932140888,4.5758750643684,0.020891333030022,3.9270566420046,0.029043404684892,3.76963146027,0.042742262858256,7.8872385303738,0.0329324159693412,7.86602426397138,0.0271734947859492,6.34230612648126,0.0275767676179868,6.34230612648126,0.0305997329228575
2001,8,5,-2.6964347470398,-2.6766206952498,0.38914668,0.34590816,1.59756189805134,1.5976823389488,4.944880376982,0.0196479105874038,4.9782909975786,0.019314231794208,4.1949648900432,0.032654448063432,4.1528758660974,0.036299146144014,7.62496423987194,0.057351538337184,7.63989266319084,0.056930414609718,6.85478813370858,0.0380170849897543,6.85478813370858,0.0350334621115619
2001,8,6,-1.42185467014812,-1.51595858079596,1.080963,0.9728667,1.56262547656098,1.61039545831476,4.4369440786008,0.010415720597022,4.470692175846,0.009268294586967,4.215380605839,0.063662038186734,4.1764590196758,0.061056370389456,5.85662307289956,0.065803065929055,5.85808131360582,0.0640674633047436,5.47297192231452,0.0518363005453769,5.47297192231452,0.0447328407433658
2001,8,7,-3.2635103149584,-3.23027180529066,0.4323852,0.41076594,1.64929060412298,1.68231685589604,4.3474154800518,0.01917366768954,4.3704916619832,0.0155026142176698,4.3524929794554,0.092083774564548,4.3561667403072,0.08260445762361,7.58642723872488,0.055291497423786,7.61172793441398,0.0470597719835646,7.35252336263952,0.0687700978412152,7.35252336263952,0.0579835030330296
2001,8,8,-3.3704201499696,-3.3734967868602,0.3242889,0.3242889,1.7874936045486,1.8589927131243,4.494971685789,0.019479294844308,4.5183142170036,0.0145947010709916,4.5100048544226,0.15880347441738,4.534211723652,0.14487954677586,7.86152034515484,0.072110937957552,7.86685941598518,0.0615875424199074,8.32448901512124,0.102981603427272,8.32448901512124,0.0843410470806634
