daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR      MONTH        DAY        GPP        NPP         ET        LAI       F_SW      F_PSI        F_T      F_VPD

-2001          5         20    12.5843  0.0639176   0.647219    4.31799          1          1    0.995786    0.824482
-2001          5         21    17.6102  0.0894452   0.904294    4.32016          1          1    0.999965    0.810584
-2001          5         22    16.6245  0.0844388   0.873219    4.32202          1          1    0.988641    0.755406
-2001          5         23    12.8497  0.0652656   0.772152    4.32297          1          1    0.880673    0.664646
-2001          5         24    13.5976  0.0690647   0.826194    4.32427          1          1    0.862277    0.712126
-2001          5         25     13.777  0.0699755   0.799179    4.32546          1          1    0.906142    0.696282
-2001          5         26    9.54706  0.0484911   0.587901    4.32536          1          1    0.850555    0.714623
-2001          5         27    8.85616   0.044982   0.473548    4.32459          1          1    0.956194    0.831936
-2001          5         28    7.06759  0.0358975   0.480274    4.32397          1          1    0.766058    0.745277
-2001          5         29    14.9568   0.075968   0.824894    4.32541          1          1    0.944936    0.737492
-2001          5         30     8.9342  0.0453783   0.526606    4.32495          1          1    0.888604    0.715338
-2001          5         31    15.8171  0.0803376   0.813211    4.32648          1          1    0.997977     0.81302
-2001          6          1    7.16571  0.0363959   0.368641    4.32498          1          1    0.986742    0.867621
-2001          6          2    5.40286  0.0274421    0.28187    4.32301          1          1    0.950897    0.980199
-2001          6          3     11.118  0.0564703   0.626079     4.3233          1          1    0.893691    0.909373
-2001          6          4    10.0508  0.0510497   0.521889    4.32285          1          1    0.983354    0.838618
-2001          6          5    13.4415  0.0682718   0.735743     4.3237          1          1    0.958078     0.70822
-2001          6          6    10.0747  0.0511712   0.527805    4.32325          1          1    0.982941    0.797319
-2001          6          7    5.35746  0.0272114   0.275552    4.32111          1          1    0.990278     0.85385
-2001          6          8    14.0632  0.0714293    0.72749    4.32205          1          1     0.98947    0.826133
-2001          6          9      11.46  0.0582072   0.594754    4.32205          1          1    0.995219    0.782705
-2001          6         10    12.0899  0.0614065    0.62214    4.32227          1          1    0.994728    0.826133
