Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
4	14	14.784336	11.876900	18.641500	6.906880	83.044500	-9999	0.673335	-9999	-9999	-9999	-9999
4	15	13.496545	12.049800	18.675700	5.749140	79.480900	-9999	0.799055	-9999	-9999	-9999	-9999
4	16	18.329069	12.128300	20.664200	6.835260	73.831300	-9999	0.000000	-9999	-9999	-9999	-9999
4	17	5.802278	10.165100	15.678400	6.465200	92.933000	-9999	0.000007	-9999	-9999	-9999	-9999
4	18	15.588806	11.593500	17.997700	5.704670	79.898700	-9999	0.737512	-9999	-9999	-9999	-9999
4	19	18.950890	9.947000	18.731400	4.316950	64.852700	-9999	0.000000	-9999	-9999	-9999	-9999
4	20	19.390579	10.327200	18.931900	3.760060	60.382500	-9999	0.000000	-9999	-9999	-9999	-9999
4	21	17.680032	10.205200	17.605100	4.066980	62.290200	-9999	0.014787	-9999	-9999	-9999	-9999
4	22	16.813959	10.502800	16.906100	4.308550	70.866000	-9999	0.007367	-9999	-9999	-9999	-9999
4	23	13.793587	11.570100	18.055300	5.022850	75.802000	-9999	0.676293	-9999	-9999	-9999	-9999
4	24	17.622490	12.728400	19.658900	7.169640	61.640800	-9999	0.000000	-9999	-9999	-9999	-9999
4	25	19.202055	12.948200	20.995400	6.593650	64.441100	-9999	0.008168	-9999	-9999	-9999	-9999
4	26	19.582559	14.255800	22.830400	6.624590	57.894800	-9999	0.002764	-9999	-9999	-9999	-9999
4	27	20.114525	14.940700	23.182000	8.277120	48.619500	-9999	0.000000	-9999	-9999	-9999	-9999
4	28	19.180887	15.577200	23.693000	8.852250	52.150100	-9999	0.039139	-9999	-9999	-9999	-9999
4	29	10.793434	14.148300	19.909900	8.891130	78.791600	-9999	3.703960	-9999	-9999	-9999	-9999
4	30	9.913622	13.349800	17.670900	9.701250	85.703900	-9999	3.285660	-9999	-9999	-9999	-9999
5	1	15.831936	14.914700	21.371700	9.679080	79.159900	-9999	0.401844	-9999	-9999	-9999	-9999
5	2	5.852805	12.933600	16.504700	10.507300	90.950100	-9999	2.449380	-9999	-9999	-9999	-9999
