
n_days	Rg_f	Ta_min	Ta_max	VPD_f 	 Ts_f  	Precip 	SWC	LAI
23	27.92	16,3	32,6	-9999	0.26	0	-9999	2.98
24	27.92	17,5	32,2	-9999	0.26	0	-9999	2.98
25	27.92	19,4	29,5	-9999	0.26	0	-9999	2.98
26	27.92	17,8	32,3	-9999	0.26	0	-9999	2.98
27	27.92	19	33,5	-9999	0.26	0	-9999	2.98
28	27.92	20,4	35,3	-9999	0.26	0	-9999	2.98
29	27.92	22,3	33,7	-9999	0.26	0	-9999	2.98
30	27.92	19,9	31,3	-9999	0.20	0	-9999	2.98
1	27.76	19,2	29,9	-9999	0.20	0	-9999	4.30
2	27.76	16,9	28,7	-9999	0.20	11	-9999	4.30
3	27.76	16	29,9	-9999	0.20	1	-9999	4.30
4	27.76	16,9	29,9	-9999	0.20	3,6	-9999	4.30
5	27.76	16,6	28,8	-9999	0.20	4,4	-9999	4.30
6	27.76	18,1	31,8	-9999	0.20	2,4	-9999	4.30
7	27.76	18,6	32	-9999	0.20	1,8	-9999	4.30
8	27.76	19,3	32,6	-9999	0.20	0	-9999	4.30
9	27.76	21,4	34,6	-9999	0.20	8,2	-9999	4.30
10	27.76	19,2	35,6	-9999	0.20	0	-9999	4.30
11	27.76	19,9	34,1	-9999	0.20	0	-9999	4.30
12	27.76	21,2	37,4	-9999	0.20	0	-9999	4.30
13	27.76	23,1	36,8	-9999	0.20	0	-9999	4.30
14	27.76	19,2	30,5	-9999	0.20	2,2	-9999	4.30
15	27.76	18	30,4	-9999	0.20	0	-9999	4.30
16	27.76	15,6	30,4	-9999	0.20	0	-9999	4.30
17	27.76	17,2	30,4	-9999	0.20	0	-9999	4.30
18	27.76	20	29,2	-9999	0.20	0	-9999	4.30
19	27.76	18,7	28,6	-9999	0.20	0	-9999	4.30
20	27.76	17,6	26	-9999	0.20	0	-9999	4.30
21	27.76	15,4	29,2	-9999	0.20	0	-9999	4.30
22	27.76	17	29,6	-9999	0.20	0	-9999	4.30
23	27.76	18,5	27,7	-9999	0.20	0	-9999	4.30
24	27.76	16,4	26,5	-9999	0.20	0	-9999	4.30
25	27.76	14,5	24,9	-9999	0.20	0	-9999	4.30
26	27.76	14,4	28,7	-9999	0.20	0	-9999	4.30
27	27.76	17,7	23,5	-9999	0.16	0	-9999	4.30
28	27.76	17,3	27,4	-9999	0.16	0	-9999	4.30
29	27.76	17,4	27,6	-9999	0.16	0	-9999	4.30
30	27.76	17,5	29,3	-9999	0.16	0	-9999	4.30
31	27.76	16,3	29,3	-9999	0.16	-9999	-9999	4.30
1	24.88	16,5	30,7	-9999	0.16	4,4	-9999	2.36
2	24.88	18,1	33	-9999	0.16	54	-9999	2.36
3	24.88	19,8	34,5	-9999	0.16	0	-9999	2.36
4	24.88	19,7	31,1	-9999	0.16	0	-9999	2.36
5	24.88	19,7	33,1	-9999	0.16	21,6	-9999	2.36
6	24.88	19,5	32,2	-9999	0.16	0	-9999	2.36
7	24.88	17,9	32,1	-9999	0.16	0	-9999	2.36
8	24.88	19,5	30,3	-9999	0.16	0	-9999	2.36
9	24.88	20,7	32,1	-9999	0.16	0	-9999	2.36
10	24.88	17,8	27,6	-9999	0.16	0	-9999	2.36
11	24.88	15,7	31,2	-9999	0.16	0	-9999	2.36
