Stazione 	Cod. 	Regione 	Prov. 	Comune 	Quota 	Lat. 	Long. 	Rete
 REGGIO CALABRIA 	149 	CALABRIA 	RC 	REGGIO CALABRIA 	11 	38° 4' 	15° 38' 	ENAV
 TRAPANI BIRGI 	154 	SICILIA 	TP 	TRAPANI 	7 	37° 55' 	12° 30' 	AM
 PALERMO PUNTA RAISI 	157 	SICILIA 	PA 	CINISI 	21 	38° 10' 	13° 5' 	ENAV
 MESSINA 	164 	SICILIA 	ME 	MESSINA 	59 	38° 12' 	15° 33' 	AM
 PIETRANERA 	230 	SICILIA 	AG 	SANTO STEFANO QUISQUINA 	158 	37° 30' 	13° 31' 	RAN
 GELA 	168 	SICILIA 	CL 	GELA 	11 	37° 5' 	14° 13' 	AM
 SANTO PIETRO 	231 	SICILIA 	CT 	CALTAGIRONE 	313 	37° 7' 	14° 31' 	RAN
 LIBERTINIA 	232 	SICILIA 	CT 	RAMACCA 	183 	37° 32' 	14° 34' 	RAN
 COZZO SPADARO 	175 	SICILIA 	SR 	PORTOPALO DI CAPO PASSERO 	46 	36° 41' 	15° 8' 	AM
 ALGHERO 	176 	SARDEGNA 	SS 	ALGHERO 	23 	40° 38' 	8° 17' 	ENAV
 OLBIA COSTA SMERALDA 	179 	SARDEGNA 	SS 	OLBIA 	11 	40° 54' 	9° 31' 	ENAV
 CHILIVANI 	233 	SARDEGNA 	SS 	OZIERI 	216 	40° 37' 	8° 56' 	RAN
 CAPO BELLAVISTA 	187 	SARDEGNA 	NU 	TORTOLI' 	138 	39° 56' 	9° 42' 	AM
 CAGLIARI ELMAS 	189 	SARDEGNA 	CA 	CAGLIARI 	4 	39° 15' 	9° 3' 	AM
 SANTA LUCIA 	234 	SARDEGNA 	OR 	ZEDDIANI 	14 	39° 58' 	8° 37' 	RAN
