Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1981,1,0,29,Fagussylvatica_LTWR_0_1,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,2,0,29,Fagussylvatica_LTWR_0_2,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,3,0,29,Fagussylvatica_LTWR_0_3,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,4,0,29,Fagussylvatica_LTWR_0_4,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,5,0,29,Fagussylvatica_LTWR_0_5,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,6,0,29,Fagussylvatica_LTWR_0_6,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,7,0,29,Fagussylvatica_LTWR_0_7,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,8,0,29,Fagussylvatica_LTWR_0_8,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1981,9,0,29,Fagussylvatica_LTWR_0_9,T,448,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1985,0,0,29,Fagussylvatica_LTWR_1,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,1,0,29,Fagussylvatica_LTWR_0_1,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,2,0,29,Fagussylvatica_LTWR_0_2,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,3,0,29,Fagussylvatica_LTWR_0_3,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,4,0,29,Fagussylvatica_LTWR_0_4,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,5,0,29,Fagussylvatica_LTWR_0_5,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,6,0,29,Fagussylvatica_LTWR_0_6,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,7,0,29,Fagussylvatica_LTWR_0_7,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,8,0,29,Fagussylvatica_LTWR_0_8,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1985,9,0,29,Fagussylvatica_LTWR_0_9,T,412,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1989,0,0,29,Fagussylvatica_LTWR_1,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,1,0,29,Fagussylvatica_LTWR_0_1,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,2,0,29,Fagussylvatica_LTWR_0_2,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,3,0,29,Fagussylvatica_LTWR_0_3,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,4,0,29,Fagussylvatica_LTWR_0_4,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,5,0,29,Fagussylvatica_LTWR_0_5,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,6,0,29,Fagussylvatica_LTWR_0_6,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,7,0,29,Fagussylvatica_LTWR_0_7,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,8,0,29,Fagussylvatica_LTWR_0_8,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1989,9,0,29,Fagussylvatica_LTWR_0_9,T,381,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1993,0,0,29,Fagussylvatica_LTWR_1,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,1,0,29,Fagussylvatica_LTWR_0_1,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,2,0,29,Fagussylvatica_LTWR_0_2,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,3,0,29,Fagussylvatica_LTWR_0_3,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,4,0,29,Fagussylvatica_LTWR_0_4,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,5,0,29,Fagussylvatica_LTWR_0_5,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,6,0,29,Fagussylvatica_LTWR_0_6,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,7,0,29,Fagussylvatica_LTWR_0_7,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,8,0,29,Fagussylvatica_LTWR_0_8,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1993,9,0,29,Fagussylvatica_LTWR_0_9,T,353,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1997,0,0,76,Fagussylvatica_LTWR_1,T,329,0,24.5400304,21.12726444,0,0,0,0,0,0,0
1997,1,0,76,Fagussylvatica_LTWR_0_1,T,329,0,24.5400304,21.12726444,0,0,0,0,0,0,0
1997,2,0,76,Fagussylvatica_LTWR_0_2,T,329,0,24.5400304,21.12726444,0,0,0,0,0,0,0
1997,3,0,76,Fagussylvatica_LTWR_0_3,T,329,0,24.5400304,21.12726444,0,0,0,0,0,0,0
1997,4,0,76,Fagussylvatica_LTWR_0_4,T,329,0,24.5400304,21.12726444,0,0,0,0,0,0,0
1997,5,0,76,Fagussylvatica_LTWR_0_5,T,329,0,24.5400304,21.12726444,0,0,0,0,0,0,0
1997,6,0,76,Fagussylvatica_LTWR_0_6,T,329,0,24.5400304,21.12726444,0,0,0,0,0,0,0
