year,mo,day,leFMDS_Wm2,leFMDS_qc,hFMDS_Wm2,hFMDS_qc
1996,6,11,75.6881877083333,0,45.7068561041667,0
1996,6,12,75.9279375,0,58.867875,0
1996,6,13,78.0146861875,0,64.346118125,0
1996,6,14,75.6881877083333,0,45.7068561041667,0
1996,6,15,75.9279375,0,58.867875,0
1996,6,16,78.0146861875,0,64.346118125,0
1996,6,17,75.6881877083333,0,45.7068561041667,0
1996,6,18,75.9279375,0,58.867875,0
1996,6,19,78.0146861875,0,64.346118125,0
1996,6,20,75.6881877083333,0,45.7068561041667,0
1996,6,21,75.9279375,0,58.867875,0
1996,6,22,78.0146861875,0,64.346118125,0
1996,6,23,75.6881877083333,0,45.7068561041667,0
1996,6,24,75.9279375,0,58.867875,0
1996,6,25,78.0146861875,0,64.346118125,0
1996,6,26,75.6881877083333,0,45.7068561041667,0
1996,6,27,75.9279375,0,58.867875,0
1996,6,28,78.0146861875,0,64.346118125,0
1996,6,29,75.6881877083333,0,45.7068561041667,0
1996,6,30,75.9279375,0,58.867875,0
1996,7,1,78.0146861875,0,64.346118125,0
1996,7,2,75.6881877083333,0,45.7068561041667,0
1996,7,3,75.9279375,0,58.867875,0
1996,7,4,78.0146861875,0,64.346118125,0
1996,7,5,75.6881877083333,0,45.7068561041667,0
1996,7,6,75.9279375,0,58.867875,0
1996,7,7,78.0146861875,0,64.346118125,0
1996,7,8,75.6881877083333,0,45.7068561041667,0
1996,7,9,73.35375,0,44.7140416666667,0
1996,7,10,73.3657245833333,0.0208333333333333,44.7751354166667,0.0208333333333333
1996,7,11,72.4421995833333,0.791666666666667,40.5191979166667,0.791666666666667
1996,7,12,78.2264583333333,1,72.4129166666667,1
1996,7,13,81.9816666666667,1,73.20625,1
1996,7,14,98.6241666666667,1,56.83625,1
1996,7,15,105.885208333333,1,61.0645833333333,1
1996,7,16,92.4768120833333,1,60.5860666666667,1
1996,7,17,91.2928266666667,1,75.254315625,1
1996,7,18,92.606993125,1,79.9266360416667,1
1996,7,19,88.029570625,1,70.47155625,1
1996,7,20,91.9772916666667,1,68.8308958333333,1
1996,7,21,83.906875,1,81.8285416666667,1
1996,7,22,85.389375,1,88.9847916666667,1
1996,7,23,59.4122916666667,1,54.454,1
1996,7,24,68.6932260416667,1,81.6293491666667,1
1996,7,25,52.8027708333333,1,41.1829166666667,1
1996,7,26,74.28375,1,74.381875,1
1996,7,27,45.694553125,1,40.4407345833333,1
1996,7,28,69.05278875,1,121.825100625,1
1996,7,29,43.775625,1,57.6204166666667,1
1996,7,30,38.0479172916667,1,46.6252083333333,1
1996,7,31,57.5599097916667,1,93.0195335416667,1
1996,8,1,54.2403279166667,1,99.86225625,1
1996,8,2,27.9457916666667,1,4.83854166666667,1
1996,8,3,49.96,1,85.1895833333333,1
1996,8,4,45.0284722916667,1,114.82226875,1
1996,8,5,36.5195833333333,1,46.6647916666667,1
1996,8,6,27.0824104166667,1,19.5534129166667,1
1996,8,7,49.27514875,1,65.6305816666667,1
1996,8,8,70.82325375,1,110.087984375,1
1996,8,9,63.591005,1,109.59010625,1
1996,8,10,45.6715614583333,1,38.7775,1
1996,8,11,62.0487672916667,0.979166666666667,34.5225625,1
1996,8,12,74.9223825,1,50.5836479166667,1
1996,8,13,54.1087875,1,52.2752958333333,1
1996,8,14,70.972625,1,78.693125,1
1996,8,15,67.0254166666667,1,110.416875,1
1996,8,16,57.1697916666667,1,105.074666666667,1
1996,8,17,57.546875,1,102.356875,1
1996,8,18,58.504375,1,111.980416666667,1
1996,8,19,45.8247172291667,1,51.4075479166667,1
1996,8,20,32.0211264583333,1,-1.51953645833333,1
1996,8,21,20.39020375,1,-0.173823541666667,1
1996,8,22,100.817756666667,1,82.2858816666667,1
1996,8,23,58.7044610416667,1,39.7675,1
1996,8,24,63.5110416666667,1,25.6235416666667,1
1996,8,25,60.2335625,1,38.8667916666667,1
1996,8,26,29.6175,1,7.603125,1
1996,8,27,77.5404158333333,1,56.7335145833333,1
1996,8,28,64.3761875,1,66.6218708333333,1
1996,8,29,58.9538102083333,1,35.753125,1
1996,8,30,61.4685416666667,1,45.8891666666667,1
1996,8,31,48.1152364583333,1,51.4504166666667,1
1996,9,1,63.7708333333333,1,63.1266666666667,1
1996,9,2,77.7254166666667,1,61.1685416666667,1
1996,9,3,61.23755713125,1,51.5412291666667,1
1996,9,4,69.5430054166667,1,75.2465416666667,1
1996,9,5,59.9357708333333,1,34.5877083333333,1
1996,9,6,67.750751875,1,46.38375,1
1996,9,7,80.45,1,62.7991666666667,1
1996,9,8,71.006875,1,41.74625,1
1996,9,9,59.9389375,1,32.0874375,1
1996,9,10,56.0200489583333,1,58.2022916666667,1
1996,9,11,69.7686848333333,1,66.32175,1
1996,9,12,69.0150520833333,1,48.3879166666667,1
1996,9,13,65.04125,1,53.0060208333333,1
1996,9,14,67.508346875,1,72.7310416666667,1
1996,9,15,58.3595833333333,1,72.5652708333333,1
1996,9,16,51.0295916666667,1,70.5390270833333,1
1996,9,17,36.0868816666667,1,-2.56289583333333,1
1996,9,18,51.6479166666667,1,26.13075,1
1996,9,19,43.6714583333333,1,15.376875,1
1996,9,20,13.32375,1,0.27125,1
1996,9,21,33.0478922916667,1,4.49566458333333,1
1996,9,22,60.8864170833333,1,29.5733375,1
1996,9,23,53.3687083333333,1,45.533625,1
1996,9,24,36.2685416666667,1,5.81104166666667,1
1996,9,25,29.6975877083333,1,-0.798284375,1
1996,9,26,59.6178045833333,1,15.608125,1
1996,9,27,48.53336896875,1,0.537655625,1
1996,9,28,56.6251875,1,41.784375,1
1996,9,29,58.3814583333333,1,38.0166666666667,1
1996,9,30,49.3630470208333,1,29.228233125,1
1996,10,1,40.292115,1,-10.4005929166667,1
1996,10,2,51.6858404166667,1,-16.1195083333333,1
1996,10,3,57.2446458333333,1,26.0820020833333,1
1996,10,4,20.368603125,1,6.44697291666667,1
1996,10,5,53.8155935416667,1,9.83385416666667,1
1996,10,6,28.6610416666667,1,8.8709375,1
1996,10,7,39.8513541666667,1,22.3318958333333,1
1996,10,8,35.146960625,1,19.5391770833333,1
1996,10,9,27.8870833333333,1,7.93729166666667,1
1996,10,10,32.496875,1,15.6653375,1
1996,10,11,48.3497916666667,1,39.2415416666667,1
1996,10,12,44.589879375,1,2.30645833333333,1
1996,10,13,37.6297291666667,1,1.396875,1
1996,10,14,7.25663604166667,1,-7.81868479166667,1
1996,10,15,28.8713685416667,1,6.84230833333333,1
1996,10,16,26.8908039583333,1,5.01916666666667,1
1996,10,17,31.1707083333333,1,5.79070833333333,1
1996,10,18,13.9533333333333,1,-15.159375,1
1996,10,19,34.43625,1,1.84333333333333,1
1996,10,20,39.9641666666667,1,6.04916666666667,1
1996,10,21,40.250925,1,12.4409158333333,1
1996,10,22,29.885,1,10.7825,1
1996,10,23,44.5145833333333,1,7.89577083333333,1
1996,10,24,35.8810416666667,1,0.226458333333333,1
1996,10,25,16.3104166666667,1,-11.249375,1
1996,10,26,21.0845833333333,1,-1.42291666666667,1
1996,10,27,27.8925,1,4.315,1
1996,10,28,6.38441375,1,-20.6926064583333,1
1996,10,29,34.0072916666667,1,-27.2590197916667,1
1996,10,30,30.923125,1,32.1829166666667,1
1996,10,31,19.721409375,1,4.51800416666667,1
1996,11,1,16.0742120833333,1,-2.09111458333333,1
1996,11,2,19.4431089583333,1,9.71666666666667,1
1996,11,3,11.3976152083333,1,2.59,1
1996,11,4,17.765071625,1,6.03344166666667,1
1996,11,5,30.2019970833333,1,-7.3757575,1
1996,11,6,4.143125,1,-36.4229166666667,1
1996,11,7,10.6449291666667,1,-29.3757791666667,1
1996,11,8,22.0194854166667,1,4.44041666666667,1
1996,11,9,19.9652083333333,1,14.2353833333333,1
1996,11,10,1.83606,1,-6.68729166666667,1
1996,11,11,20.2719545833333,1,-17.5192520833333,1
1996,11,12,15.2023847916667,1,-6.89384645833333,1
1996,11,13,6.755,1,-10.1683333333333,1
1996,11,14,13.9818489583333,1,-15.9654166666667,1
1996,11,15,7.99875,1,2.27516666666667,1
1996,11,16,11.3214177083333,1,18.6922916666667,1
