 Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Littfall
4	2	10.7	5.97	10.5	-0.26	3.63	6.45	3.4	-9999	-9999	-9999	-9999
4	3	6.07	6.72	9.04	5.55	1.89	6.78	15.2	-9999	-9999	-9999	-9999
4	4	14.01	7.26	9.85	4.95	2.95	6.79	2	-9999	-9999	-9999	-9999
4	5	18.29	5.94	10.14	2.59	3.72	6.8	0	-9999	-9999	-9999	-9999
4	6	22.21	9.85	17.52	0.93	7.05	6.82	0	-9999	-9999	-9999	-9999
4	7	20.41	12.86	20.33	4.81	8.47	7.53	0	-9999	-9999	-9999	-9999
4	8	7.55	10.8	12.75	9.06	2.64	8.13	0	-9999	-9999	-9999	-9999
4	9	12.39	10.55	15.32	6.19	4.33	8.31	0	-9999	-9999	-9999	-9999
4	10	16.81	8.9	14.27	3.06	4.97	7.99	0	-9999	-9999	-9999	-9999
4	11	10.12	4.76	7.12	1.72	2.54	7.37	1	-9999	-9999	-9999	-9999
4	12	5.75	4.19	6.76	0.81	1.6	6.76	0	-9999	-9999	-9999	-9999
4	13	7.67	5.6	9.76	3.37	1.51	7	1.8	-9999	-9999	-9999	-9999
4	14	10.01	6.63	11.68	3.01	1.98	7.18	7.2	-9999	-9999	-9999	-9999
4	15	12.1	7.9	12.52	3.39	3.53	7.32	0	-9999	-9999	-9999	-9999
4	16	19.58	9.99	15.01	5.64	5.14	7.93	0	-9999	-9999	-9999	-9999
4	17	22.91	10.2	16.02	4.55	6.45	7.99	0	-9999	-9999	-9999	-9999
4	18	23.53	11.67	18.48	4.41	8.04	8.23	0	-9999	-9999	-9999	-9999
4	19	22.85	13.04	18.76	6.19	8.67	8.6	0	-9999	-9999	-9999	-9999
4	20	20.8	11.59	18.43	3.9	7.35	8.74	0	-9999	-9999	-9999	-9999
4	21	24.85	8.43	13.52	1.61	5.61	8.52	0	-9999	-9999	-9999	-9999
4	22	24.74	9.27	14.66	3.87	7.09	8.3	0	-9999	-9999	-9999	-9999
4	23	24.87	11.92	18.07	5.66	10.18	8.46	0	-9999	-9999	-9999	-9999
4	24	25.83	14.74	21.53	5.12	12.72	8.86	0	-9999	-9999	-9999	-9999
4	25	21.99	16.73	23.19	8.24	12.02	9.55	1.4	-9999	-9999	-9999	-9999
4	26	20.42	13.53	17.34	9.24	5.52	10.32	3.8	-9999	-9999	-9999	-9999
4	27	25.26	13.01	19.23	5.45	6.91	10.19	0	-9999	-9999	-9999	-9999
4	28	25.54	15.85	22.39	7.83	10.35	10.52	0	-9999	-9999	-9999	-9999
4	29	23.6	19.32	24.97	9.26	14.11	11.03	0	-9999	-9999	-9999	-9999
4	30	8.39	14.07	18.64	10.23	4.44	11.35	1.2	-9999	-9999	-9999	-9999
5	1	9.5	11.44	14.36	9.99	2.47	10.74	0.8	-9999	-9999	-9999	-9999
5	2	10.76	9.94	13.63	7.31	1.97	10.41	8.2	-9999	-9999	-9999	-9999
5	3	13.03	8.59	11.31	6.21	2.51	9.95	0.8	-9999	-9999	-9999	-9999
5	4	9.94	8.63	12.35	5.16	3.46	9.61	0.2	-9999	-9999	-9999	-9999
5	5	5.67	6.99	9.59	4.58	3.61	9.1	0.2	-9999	-9999	-9999	-9999
5	6	3.72	5.35	6.05	4.7	0.51	8.66	14.8	-9999	-9999	-9999	-9999
5	7	6.83	6.74	10.3	3.86	1.5	8.39	3.4	-9999	-9999	-9999	-9999
5	8	15.54	10.06	15.14	5.47	3.84	8.84	0.4	-9999	-9999	-9999	-9999
